embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
fastText_CommonCrawl,,familiarity_glasgow,1184,297,300,0.6073360915665885,0.02670376378916653,pass
fastText_CommonCrawl,,aoa_glasgow,1184,297,300,0.6871847093352911,0.032566835330701115,pass
fastText_CommonCrawl,,concreteness_glasgow,1184,297,300,0.7913187922271465,0.017407632166271003,pass
fastText_CommonCrawl,,imageability_glasgow,1184,297,300,0.7266736009284993,0.02546379158041846,pass
fastText_CommonCrawl,,semantic_size_glasgow,1184,297,300,0.6055093171558644,0.02141507876153049,pass
fastText_CommonCrawl,,gender_association_glasgow,1184,297,300,0.6229786856961284,0.0464161563909589,pass
fastText_CommonCrawl,,valence_glasgow,1184,297,300,0.6766195075784843,0.04354645368870758,pass
fastText_CommonCrawl,,arousal_glasgow,1184,297,300,0.527113612893132,0.026953266325778224,pass
fastText_CommonCrawl,,dominance_glasgow,1184,297,300,0.45983950944076435,0.054183544650762215,pass
BERT_large_0,,familiarity_glasgow,1184,297,1024,0.4135967706968858,0.05145550190435268,pass
BERT_large_0,,aoa_glasgow,1184,297,1024,0.48332886597890956,0.028312058811755997,pass
BERT_large_0,,concreteness_glasgow,1184,297,1024,0.6718940279853912,0.021655205706654884,pass
BERT_large_0,,imageability_glasgow,1184,297,1024,0.605910718946738,0.0343878129213915,pass
BERT_large_0,,semantic_size_glasgow,1184,297,1024,0.5150605238329137,0.03993690178934604,pass
BERT_large_0,,gender_association_glasgow,1184,297,1024,0.4149294916778584,0.03512736340124405,pass
BERT_large_0,,valence_glasgow,1184,297,1024,0.492974236188779,0.04295775939869795,pass
BERT_large_0,,arousal_glasgow,1184,297,1024,0.39762642546168275,0.03862132608472477,pass
BERT_large_0,,dominance_glasgow,1184,297,1024,0.3360978995848817,0.049973870907392366,pass
BERT_large_1,,familiarity_glasgow,1184,297,1024,0.46956098995600665,0.046062578119583183,pass
BERT_large_1,,aoa_glasgow,1184,297,1024,0.6052550192515384,0.034219824571315685,pass
BERT_large_1,,concreteness_glasgow,1184,297,1024,0.7992366730560432,0.01874536244468669,pass
BERT_large_1,,imageability_glasgow,1184,297,1024,0.7510196729047087,0.016661217480446733,pass
BERT_large_1,,semantic_size_glasgow,1184,297,1024,0.6406610727921171,0.020536779811185752,pass
BERT_large_1,,gender_association_glasgow,1184,297,1024,0.6367869888236826,0.031216397371010948,pass
BERT_large_1,,valence_glasgow,1184,297,1024,0.7234868130069658,0.011470036268062589,pass
BERT_large_1,,arousal_glasgow,1184,297,1024,0.5528745469499867,0.03324335718214569,pass
BERT_large_1,,dominance_glasgow,1184,297,1024,0.502872480100538,0.038589148835522065,pass
BERT_large_2,,familiarity_glasgow,1184,297,1024,0.40909192657729526,0.059909925986432654,pass
BERT_large_2,,aoa_glasgow,1184,297,1024,0.5354605550821334,0.05715518966470371,pass
BERT_large_2,,concreteness_glasgow,1184,297,1024,0.7294929788972235,0.03658232780917989,pass
BERT_large_2,,imageability_glasgow,1184,297,1024,0.6638447436544499,0.05804624313967136,pass
BERT_large_2,,semantic_size_glasgow,1184,297,1024,0.5650537177380481,0.0261458790325071,pass
BERT_large_2,,gender_association_glasgow,1184,297,1024,0.5055721839307867,0.033325994428127,pass
BERT_large_2,,valence_glasgow,1184,297,1024,0.6284569256969333,0.035947988627461784,pass
BERT_large_2,,arousal_glasgow,1184,297,1024,0.4860524859291718,0.058110420610847105,pass
BERT_large_2,,dominance_glasgow,1184,297,1024,0.43588507565288603,0.04853818236578462,pass
BERT_large_lenci,,familiarity_glasgow,1184,297,1024,0.4396376439568014,0.04473421516686431,pass
BERT_large_lenci,,aoa_glasgow,1184,297,1024,0.5069151512568658,0.018259429229845782,pass
BERT_large_lenci,,concreteness_glasgow,1184,297,1024,0.754658420470354,0.020474343746273452,pass
BERT_large_lenci,,imageability_glasgow,1184,297,1024,0.6883329677798775,0.023374550730646527,pass
BERT_large_lenci,,semantic_size_glasgow,1184,297,1024,0.5962705944124319,0.03174346965676662,pass
BERT_large_lenci,,gender_association_glasgow,1184,297,1024,0.5237005144956202,0.024436331959254865,pass
BERT_large_lenci,,valence_glasgow,1184,297,1024,0.6536950631415461,0.02863868268098702,pass
BERT_large_lenci,,arousal_glasgow,1184,297,1024,0.4737491606555636,0.03677697053451973,pass
BERT_large_lenci,,dominance_glasgow,1184,297,1024,0.4628468836334352,0.047404889164099136,pass
BERT_tikhomirova,,familiarity_glasgow,1184,297,768,0.5229042076091567,0.03075699940794181,pass
BERT_tikhomirova,,aoa_glasgow,1184,297,768,0.634459587095346,0.017456237620337815,pass
BERT_tikhomirova,,concreteness_glasgow,1184,297,768,0.8217596495822679,0.018646813564930125,pass
BERT_tikhomirova,,imageability_glasgow,1184,297,768,0.7562079961579661,0.02048757737279289,pass
BERT_tikhomirova,,semantic_size_glasgow,1184,297,768,0.6912380784532708,0.032092812832059184,pass
BERT_tikhomirova,,gender_association_glasgow,1184,297,768,0.6502077905965618,0.04668723493088494,pass
BERT_tikhomirova,,valence_glasgow,1184,297,768,0.7528314674760407,0.028912816680036788,pass
BERT_tikhomirova,,arousal_glasgow,1184,297,768,0.5825545130023784,0.020986631314749565,pass
BERT_tikhomirova,,dominance_glasgow,1184,297,768,0.5303480193229049,0.043032510157150046,pass
Llama_3_8B_0,,familiarity_glasgow,1184,297,4096,0.40186446958329647,0.030523634942797112,pass
Llama_3_8B_0,,aoa_glasgow,1184,297,4096,0.5289541483293728,0.018645708805901228,pass
Llama_3_8B_0,,concreteness_glasgow,1184,297,4096,0.6859711896026915,0.028796668227368587,pass
Llama_3_8B_0,,imageability_glasgow,1184,297,4096,0.6256253856449131,0.035821975947350655,pass
Llama_3_8B_0,,semantic_size_glasgow,1184,297,4096,0.5150133680402418,0.029946201829846072,pass
Llama_3_8B_0,,gender_association_glasgow,1184,297,4096,0.43447418132012283,0.046921196752427306,pass
Llama_3_8B_0,,valence_glasgow,1184,297,4096,0.5558022738653509,0.04063090402729327,pass
Llama_3_8B_0,,arousal_glasgow,1184,297,4096,0.3810755536354349,0.06693442160709627,pass
Llama_3_8B_0,,dominance_glasgow,1184,297,4096,0.30549634496624745,0.04221739820052034,pass
Llama_3_8B_1,,familiarity_glasgow,1184,297,4096,0.48929355971240174,0.012216323597652757,pass
Llama_3_8B_1,,aoa_glasgow,1184,297,4096,0.6553434081745182,0.015895434231981746,pass
Llama_3_8B_1,,concreteness_glasgow,1184,297,4096,0.7873058405623153,0.02586341337955782,pass
Llama_3_8B_1,,imageability_glasgow,1184,297,4096,0.727835348329529,0.02681321087435466,pass
Llama_3_8B_1,,semantic_size_glasgow,1184,297,4096,0.6233954623844757,0.017704864139803995,pass
Llama_3_8B_1,,gender_association_glasgow,1184,297,4096,0.5426000988537966,0.05282740979166795,pass
Llama_3_8B_1,,valence_glasgow,1184,297,4096,0.6732319071080617,0.023539091572852406,pass
Llama_3_8B_1,,arousal_glasgow,1184,297,4096,0.5115481026681169,0.02911263964781893,pass
Llama_3_8B_1,,dominance_glasgow,1184,297,4096,0.42602366850074314,0.03041531353224812,pass
Llama_3_8B_2,,familiarity_glasgow,1184,297,4096,0.45508213792585384,0.02256256744883966,pass
