embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
Llama_3_8B,text,frequency_lund,7840,1961,4096,0.7554344276063214,0.008065808910628955,pass
Llama_3_8B,text,frequency_kucera,6788,1698,4096,0.6598636096991152,0.02129482240486982,pass
Llama_3_8B,text,frequency_subtlexus,7921,1981,4096,0.7355932312602255,0.00969449880026308,pass
Llama_3_8B,text,frequency_subtlexuk,7900,1975,4096,0.7283574550107031,0.008021009665514108,pass
Llama_3_8B,text,frequency_blog_gimenes,7923,1981,4096,0.780473213617773,0.004597849689344597,pass
Llama_3_8B,text,frequency_twitter_gimenes,7923,1981,4096,0.7710660896013988,0.005913859641082889,pass
Llama_3_8B,text,frequency_news_gimenes,7923,1981,4096,0.7687253258849097,0.006488021362651342,pass
Llama_3_8B,text,frequency_written_cobuild,7742,1936,4096,0.5307837265136317,0.004607192145815208,pass
Llama_3_8B,text,frequency_spoken_cobuild,7742,1936,4096,0.5210895605603748,0.0031517922294554087,pass
Llama_3_8B,text,context_diversity_subtlexus,7921,1981,4096,0.743861942448969,0.01027069453148888,pass
Llama_3_8B,text,context_diversity_subtlexuk,7900,1975,4096,0.7425862929661339,0.006814930546481159,pass
Llama_3_8B,text,context_diversity_blog_gimenes,7923,1981,4096,0.7852355435780095,0.0037105869915026895,pass
Llama_3_8B,text,context_diversity_twitter_gimenes,7923,1981,4096,0.7718151976702432,0.005405756725601469,pass
Llama_3_8B,text,context_diversity_news_gimenes,7923,1981,4096,0.7713890679488238,0.006115779056604876,pass
Llama_3_8B,text,familiarity_glasgow,2956,740,4096,0.5389138320255599,0.012918278418483864,pass
Llama_3_8B,text,familiarity_brysbaert,7780,1945,4096,0.1982888314296804,0.011859985269504051,pass
Llama_3_8B,text,prevalence_brysbaert,7908,1978,4096,0.40044339453297617,0.022994392288448927,pass
Llama_3_8B,text,aoa_kuperman,7564,1892,4096,0.6521738040822941,0.004009393928641705,pass
Llama_3_8B,text,aoa_brysbaert,7156,1790,4096,0.6860477308575345,0.007741453170514753,pass
Llama_3_8B,text,aoa_glasgow,2956,740,4096,0.6755500734508384,0.008491101017103124,pass
Llama_3_8B,text,frequency_trajectory_brysbaert,5763,1441,4096,0.733713878565615,0.010583658149096242,pass
Llama_3_8B,text,pos_brysbaert,7863,1966,4096,0.7490602269554328,0.009388239068790598,pass
Llama_3_8B,text,pos_vanheuven,7840,1961,4096,0.6758588844621526,0.011206686310722273,pass
Llama_3_8B,text,concreteness_brysbaert,7780,1945,4096,0.7970490069456272,0.00927844521613552,pass
Llama_3_8B,text,concreteness_glasgow,2956,740,4096,0.7964294288972608,0.00852750804636379,pass
Llama_3_8B,text,imageability_glasgow,2956,740,4096,0.7372068364934424,0.006387769164589865,pass
Llama_3_8B,text,n_senses_wordnet_miller,7743,1936,4096,0.4318380331534414,0.011848744668676421,pass
Llama_3_8B,text,n_senses_wordsmyth_rice,391,98,4096,0.21857168428657303,0.07197805635660703,pass
Llama_3_8B,text,n_meanings_wordsmyth_rice,391,98,4096,-0.0026656210150837857,0.03267787985935393,pass
Llama_3_8B,text,n_meanings_websters_gao,7377,1845,4096,0.2897837104399511,0.017956444249221305,pass
Llama_3_8B,text,n_features_buchanan,2821,706,4096,0.20926822478416085,0.02238265552753077,pass
Llama_3_8B,text,visual_lancaster,7773,1944,4096,0.5100113558373618,0.01297700812691226,pass
Llama_3_8B,text,auditory_lancaster,7773,1944,4096,0.6010731545404131,0.012165092973982862,pass
Llama_3_8B,text,haptic_lancaster,7773,1944,4096,0.601978809375787,0.012588815964073904,pass
Llama_3_8B,text,olfactory_lancaster,7773,1944,4096,0.6019239236154236,0.029790235531692695,pass
Llama_3_8B,text,gustatory_lancaster,7773,1944,4096,0.7278615393017952,0.03183347917151526,pass
Llama_3_8B,text,interoceptive_lancaster,7773,1944,4096,0.6351199464745892,0.004721601735973882,pass
Llama_3_8B,text,head_lancaster,7773,1944,4096,0.4051940171186012,0.007011158041054164,pass
Llama_3_8B,text,torso_lancaster,7773,1944,4096,0.4650330990511969,0.016881569246597592,pass
Llama_3_8B,text,mouth_throat_lancaster,7773,1944,4096,0.5742540510188052,0.01536408887197651,pass
Llama_3_8B,text,hand_arm_lancaster,7773,1944,4096,0.5154218821631738,0.013595196138415673,pass
Llama_3_8B,text,foot_leg_lancaster,7773,1944,4096,0.520814560209746,0.015242675762537435,pass
Llama_3_8B,text,body_object_interact_pexman,4960,1240,4096,0.681680785628069,0.007092388039390264,pass
Llama_3_8B,text,child_body_object_interact,2204,551,4096,0.5643321091537372,0.01993878979633396,pass
Llama_3_8B,text,semantic_size_glasgow,2956,740,4096,0.7133754654955455,0.017567730753307975,pass
Llama_3_8B,text,gender_association_glasgow,2956,740,4096,0.6440395702578844,0.037689084622178765,pass
Llama_3_8B,text,feature_visual_vinson,730,183,4096,0.2435345505486816,0.0627247348546058,pass
Llama_3_8B,text,feature_perceptual_vinson,730,183,4096,0.06046028149114966,0.21003515905125286,pass
Llama_3_8B,text,feature_functional_vinson,730,183,4096,0.10223776024546219,0.16562681591844758,pass
Llama_3_8B,text,feature_motoric_vinson,730,183,4096,0.1943488182155702,0.16186639945875092,pass
Llama_3_8B,text,socialness_diveica,4394,1099,4096,0.7034691620217525,0.006773375067224069,pass
Llama_3_8B,text,valence_warriner,6748,1687,4096,0.6894368679124223,0.005726399438453997,pass
Llama_3_8B,text,valence_glasgow,2956,740,4096,0.7740541805508894,0.014294748324879366,pass
Llama_3_8B,text,valence_mohammad,7248,1813,4096,0.6824862953132799,0.008644318349910411,pass
Llama_3_8B,text,valence_older_kyrolainen,2151,538,4096,0.7238321925407345,0.01256625446208138,pass
Llama_3_8B,text,valence_younger_kyrolainen,2151,538,4096,0.740277816888729,0.019563594939712863,pass
Llama_3_8B,text,arousal_warriner,6748,1687,4096,0.4210543978454351,0.008574257462342907,pass
Llama_3_8B,text,arousal_glasgow,2956,740,4096,0.5860963327755929,0.030997116866290093,pass
Llama_3_8B,text,arousal_mohammad,7248,1813,4096,0.5668019425668134,0.011080763773578814,pass
Llama_3_8B,text,dominance_warriner,6748,1687,4096,0.5190502665680456,0.017115523431306044,pass
Llama_3_8B,text,dominance_glasgow,2956,740,4096,0.5603618229435411,0.04093874813163463,pass
Llama_3_8B,text,dominance_mohammad,7248,1813,4096,0.5916298921523608,0.013474961522594031,pass
Llama_3_8B,text,humor_engelthaler,3204,802,4096,0.4904950505437197,0.025479311306126552,pass
Llama_3_8B,text,anger_mohammad,6291,1573,4096,0.3459475571504682,0.02641562700391928,pass
Llama_3_8B,text,anticipation_mohammad,6291,1573,4096,0.1415977409438109,0.040447488964808063,pass
