embed,norm,train_n,fold,r2,check
Llama_3_8B&SVD_SWOW,frequency_lund,5815,1,0.7588927950532541,pass
Llama_3_8B&SVD_SWOW,frequency_lund,5815,2,0.7681744196198853,pass
Llama_3_8B&SVD_SWOW,frequency_lund,5815,3,0.8060880898370127,pass
Llama_3_8B&SVD_SWOW,frequency_lund,5815,4,0.7906594652206305,pass
Llama_3_8B&SVD_SWOW,frequency_lund,5815,5,0.7960272749906945,pass
Llama_3_8B&SVD_SWOW,frequency_kucera,5273,1,0.707864683451553,pass
Llama_3_8B&SVD_SWOW,frequency_kucera,5273,2,0.7202639803434773,pass
Llama_3_8B&SVD_SWOW,frequency_kucera,5273,3,0.7276590450282987,pass
Llama_3_8B&SVD_SWOW,frequency_kucera,5273,4,0.7145231953955385,pass
Llama_3_8B&SVD_SWOW,frequency_kucera,5273,5,0.7412057726253611,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexus,5852,1,0.7562384000065129,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexus,5852,2,0.7685442378688547,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexus,5852,3,0.8011662844893089,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexus,5852,4,0.7702711808838052,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexus,5852,5,0.778357606833974,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexuk,5840,1,0.7334648199659246,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexuk,5840,2,0.7525628312721329,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexuk,5840,3,0.7767891309590832,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexuk,5840,4,0.7334154192966635,pass
Llama_3_8B&SVD_SWOW,frequency_subtlexuk,5840,5,0.7658315350331056,pass
Llama_3_8B&SVD_SWOW,frequency_blog_gimenes,5852,1,0.8135908477282302,pass
Llama_3_8B&SVD_SWOW,frequency_blog_gimenes,5852,2,0.8160764692642832,pass
Llama_3_8B&SVD_SWOW,frequency_blog_gimenes,5852,3,0.8301869658362991,pass
Llama_3_8B&SVD_SWOW,frequency_blog_gimenes,5852,4,0.804966919936063,pass
Llama_3_8B&SVD_SWOW,frequency_blog_gimenes,5852,5,0.8254222382243215,pass
Llama_3_8B&SVD_SWOW,frequency_twitter_gimenes,5852,1,0.7869705752653222,pass
Llama_3_8B&SVD_SWOW,frequency_twitter_gimenes,5852,2,0.7977649847561963,pass
Llama_3_8B&SVD_SWOW,frequency_twitter_gimenes,5852,3,0.8111506562925319,pass
Llama_3_8B&SVD_SWOW,frequency_twitter_gimenes,5852,4,0.7852749432164433,pass
Llama_3_8B&SVD_SWOW,frequency_twitter_gimenes,5852,5,0.8220805558084621,pass
Llama_3_8B&SVD_SWOW,frequency_news_gimenes,5852,1,0.7978845966759921,pass
Llama_3_8B&SVD_SWOW,frequency_news_gimenes,5852,2,0.8042618707167174,pass
Llama_3_8B&SVD_SWOW,frequency_news_gimenes,5852,3,0.803269008756833,pass
Llama_3_8B&SVD_SWOW,frequency_news_gimenes,5852,4,0.8002294052730587,pass
Llama_3_8B&SVD_SWOW,frequency_news_gimenes,5852,5,0.8155892703183854,pass
Llama_3_8B&SVD_SWOW,frequency_written_cobuild,5764,1,0.5207530671930009,pass
Llama_3_8B&SVD_SWOW,frequency_written_cobuild,5764,2,0.528509278436452,pass
Llama_3_8B&SVD_SWOW,frequency_written_cobuild,5764,3,0.5646791390202489,pass
Llama_3_8B&SVD_SWOW,frequency_written_cobuild,5764,4,0.4922342737732661,pass
Llama_3_8B&SVD_SWOW,frequency_written_cobuild,5764,5,0.57586448908842,pass
Llama_3_8B&SVD_SWOW,frequency_spoken_cobuild,5764,1,0.5534556256895294,pass
Llama_3_8B&SVD_SWOW,frequency_spoken_cobuild,5764,2,0.5592270686543342,pass
Llama_3_8B&SVD_SWOW,frequency_spoken_cobuild,5764,3,0.5559076100756855,pass
Llama_3_8B&SVD_SWOW,frequency_spoken_cobuild,5764,4,0.5170297187190077,pass
Llama_3_8B&SVD_SWOW,frequency_spoken_cobuild,5764,5,0.5802023235091749,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexus,5852,1,0.7564503594526609,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexus,5852,2,0.7615729354104208,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexus,5852,3,0.7904933757863041,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexus,5852,4,0.7635603950835002,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexus,5852,5,0.7759943093121418,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexuk,5840,1,0.7418302205509782,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexuk,5840,2,0.7504603638471965,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexuk,5840,3,0.776466558952333,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexuk,5840,4,0.7438075378467743,pass
Llama_3_8B&SVD_SWOW,context_diversity_subtlexuk,5840,5,0.769569642018969,pass
Llama_3_8B&SVD_SWOW,context_diversity_blog_gimenes,5852,1,0.8179064515159195,pass
Llama_3_8B&SVD_SWOW,context_diversity_blog_gimenes,5852,2,0.8192158952020764,pass
Llama_3_8B&SVD_SWOW,context_diversity_blog_gimenes,5852,3,0.834292763538824,pass
Llama_3_8B&SVD_SWOW,context_diversity_blog_gimenes,5852,4,0.8082814040063355,pass
Llama_3_8B&SVD_SWOW,context_diversity_blog_gimenes,5852,5,0.8314861336407839,pass
Llama_3_8B&SVD_SWOW,context_diversity_twitter_gimenes,5852,1,0.7876023322017512,pass
Llama_3_8B&SVD_SWOW,context_diversity_twitter_gimenes,5852,2,0.7984766313769659,pass
Llama_3_8B&SVD_SWOW,context_diversity_twitter_gimenes,5852,3,0.8116234389009276,pass
Llama_3_8B&SVD_SWOW,context_diversity_twitter_gimenes,5852,4,0.7861061942613002,pass
Llama_3_8B&SVD_SWOW,context_diversity_twitter_gimenes,5852,5,0.8232150834870526,pass
Llama_3_8B&SVD_SWOW,context_diversity_news_gimenes,5852,1,0.8010546918166879,pass
Llama_3_8B&SVD_SWOW,context_diversity_news_gimenes,5852,2,0.8063922566865143,pass
Llama_3_8B&SVD_SWOW,context_diversity_news_gimenes,5852,3,0.8051744901916658,pass
Llama_3_8B&SVD_SWOW,context_diversity_news_gimenes,5852,4,0.8024642915857941,pass
Llama_3_8B&SVD_SWOW,context_diversity_news_gimenes,5852,5,0.8182869761810183,pass
Llama_3_8B&SVD_SWOW,familiarity_glasgow,2762,1,0.5330210809928638,pass
Llama_3_8B&SVD_SWOW,familiarity_glasgow,2762,2,0.5119936451145715,pass
Llama_3_8B&SVD_SWOW,familiarity_glasgow,2762,3,0.5247792615202067,pass
Llama_3_8B&SVD_SWOW,familiarity_glasgow,2762,4,0.47805551436541105,pass
Llama_3_8B&SVD_SWOW,familiarity_glasgow,2762,5,0.5310569821825949,pass
Llama_3_8B&SVD_SWOW,familiarity_brysbaert,5832,1,0.09050845292650078,pass
Llama_3_8B&SVD_SWOW,familiarity_brysbaert,5832,2,0.09613048409511693,pass
Llama_3_8B&SVD_SWOW,familiarity_brysbaert,5832,3,0.10196336182046695,pass
Llama_3_8B&SVD_SWOW,familiarity_brysbaert,5832,4,0.11839197846556704,pass
Llama_3_8B&SVD_SWOW,familiarity_brysbaert,5832,5,0.08510672392258822,pass
Llama_3_8B&SVD_SWOW,prevalence_brysbaert,5845,1,0.24437912204488788,pass
Llama_3_8B&SVD_SWOW,prevalence_brysbaert,5845,2,0.26089214545275163,pass
Llama_3_8B&SVD_SWOW,prevalence_brysbaert,5845,3,0.28842798959357896,pass
Llama_3_8B&SVD_SWOW,prevalence_brysbaert,5845,4,0.30705718707651386,pass
Llama_3_8B&SVD_SWOW,prevalence_brysbaert,5845,5,0.2734150395383643,pass
Llama_3_8B&SVD_SWOW,aoa_kuperman,5742,1,0.656996149963206,pass
Llama_3_8B&SVD_SWOW,aoa_kuperman,5742,2,0.6459202265750922,pass
Llama_3_8B&SVD_SWOW,aoa_kuperman,5742,3,0.6500184463442362,pass
Llama_3_8B&SVD_SWOW,aoa_kuperman,5742,4,0.6327525291666707,pass
Llama_3_8B&SVD_SWOW,aoa_kuperman,5742,5,0.6534222776596503,pass
Llama_3_8B&SVD_SWOW,aoa_brysbaert,5533,1,0.690411063891439,pass
Llama_3_8B&SVD_SWOW,aoa_brysbaert,5533,2,0.6995874453405597,pass
Llama_3_8B&SVD_SWOW,aoa_brysbaert,5533,3,0.6789816528575503,pass
Llama_3_8B&SVD_SWOW,aoa_brysbaert,5533,4,0.6803740585431146,pass
Llama_3_8B&SVD_SWOW,aoa_brysbaert,5533,5,0.6950746660490272,pass
Llama_3_8B&SVD_SWOW,aoa_glasgow,2762,1,0.6703364384864006,pass
Llama_3_8B&SVD_SWOW,aoa_glasgow,2762,2,0.6818775236340686,pass
Llama_3_8B&SVD_SWOW,aoa_glasgow,2762,3,0.6201896289401159,pass
Llama_3_8B&SVD_SWOW,aoa_glasgow,2762,4,0.6732321366185,pass
Llama_3_8B&SVD_SWOW,aoa_glasgow,2762,5,0.6767081911494162,pass
Llama_3_8B&SVD_SWOW,frequency_trajectory_brysbaert,4892,1,0.7500347774681119,pass
Llama_3_8B&SVD_SWOW,frequency_trajectory_brysbaert,4892,2,0.7526222234073101,pass
Llama_3_8B&SVD_SWOW,frequency_trajectory_brysbaert,4892,3,0.7531351189668009,pass
Llama_3_8B&SVD_SWOW,frequency_trajectory_brysbaert,4892,4,0.7556541917953958,pass
Llama_3_8B&SVD_SWOW,frequency_trajectory_brysbaert,4892,5,0.7297783583730921,pass
Llama_3_8B&SVD_SWOW,pos_brysbaert,5788,1,0.7392599697844511,pass
Llama_3_8B&SVD_SWOW,pos_brysbaert,5788,2,0.7660278749901195,pass
Llama_3_8B&SVD_SWOW,pos_brysbaert,5788,3,0.74756438134298,pass
Llama_3_8B&SVD_SWOW,pos_brysbaert,5788,4,0.7591581576622507,pass
Llama_3_8B&SVD_SWOW,pos_brysbaert,5788,5,0.7240979618676704,pass
Llama_3_8B&SVD_SWOW,pos_vanheuven,5787,1,0.668466386338428,pass
Llama_3_8B&SVD_SWOW,pos_vanheuven,5787,2,0.6889190527105888,pass
Llama_3_8B&SVD_SWOW,pos_vanheuven,5787,3,0.6552604020820972,pass
Llama_3_8B&SVD_SWOW,pos_vanheuven,5787,4,0.694169982587233,pass
Llama_3_8B&SVD_SWOW,pos_vanheuven,5787,5,0.6292340902437226,pass
Llama_3_8B&SVD_SWOW,concreteness_brysbaert,5832,1,0.8215519980143933,pass
Llama_3_8B&SVD_SWOW,concreteness_brysbaert,5832,2,0.7917643191597512,pass
Llama_3_8B&SVD_SWOW,concreteness_brysbaert,5832,3,0.8054118420816323,pass
Llama_3_8B&SVD_SWOW,concreteness_brysbaert,5832,4,0.8148518671534852,pass
Llama_3_8B&SVD_SWOW,concreteness_brysbaert,5832,5,0.7923832110985145,pass
Llama_3_8B&SVD_SWOW,concreteness_glasgow,2762,1,0.8303195929135686,pass
Llama_3_8B&SVD_SWOW,concreteness_glasgow,2762,2,0.7980554385362901,pass
Llama_3_8B&SVD_SWOW,concreteness_glasgow,2762,3,0.8168196467223604,pass
Llama_3_8B&SVD_SWOW,concreteness_glasgow,2762,4,0.8105876973452735,pass
Llama_3_8B&SVD_SWOW,concreteness_glasgow,2762,5,0.8073729268997003,pass
Llama_3_8B&SVD_SWOW,imageability_glasgow,2762,1,0.7908135656941259,pass
Llama_3_8B&SVD_SWOW,imageability_glasgow,2762,2,0.7367708674143779,pass
Llama_3_8B&SVD_SWOW,imageability_glasgow,2762,3,0.7661891831600973,pass
Llama_3_8B&SVD_SWOW,imageability_glasgow,2762,4,0.7579261420043868,pass
Llama_3_8B&SVD_SWOW,imageability_glasgow,2762,5,0.7490106194027484,pass
Llama_3_8B&SVD_SWOW,n_senses_wordnet_miller,5803,1,0.4295360852793424,pass
Llama_3_8B&SVD_SWOW,n_senses_wordnet_miller,5803,2,0.47615513842043233,pass
Llama_3_8B&SVD_SWOW,n_senses_wordnet_miller,5803,3,0.4483281847376128,pass
Llama_3_8B&SVD_SWOW,n_senses_wordnet_miller,5803,4,0.44172392266706106,pass
Llama_3_8B&SVD_SWOW,n_senses_wordnet_miller,5803,5,0.4270888385622188,pass
Llama_3_8B&SVD_SWOW,n_senses_wordsmyth_rice,365,1,0.34589080219857493,pass
Llama_3_8B&SVD_SWOW,n_senses_wordsmyth_rice,365,2,0.27943706949569946,pass
Llama_3_8B&SVD_SWOW,n_senses_wordsmyth_rice,365,3,0.27690948902957235,pass
Llama_3_8B&SVD_SWOW,n_senses_wordsmyth_rice,365,4,0.25891086361016624,pass
Llama_3_8B&SVD_SWOW,n_senses_wordsmyth_rice,365,5,0.2571734833121617,pass
Llama_3_8B&SVD_SWOW,n_meanings_wordsmyth_rice,365,1,-0.010568171135957094,pass
Llama_3_8B&SVD_SWOW,n_meanings_wordsmyth_rice,365,2,0.00619628459553434,pass
Llama_3_8B&SVD_SWOW,n_meanings_wordsmyth_rice,365,3,-0.0827130234999165,pass
Llama_3_8B&SVD_SWOW,n_meanings_wordsmyth_rice,365,4,0.010286981912147941,pass
Llama_3_8B&SVD_SWOW,n_meanings_wordsmyth_rice,365,5,-0.031574160461201206,pass
Llama_3_8B&SVD_SWOW,n_meanings_websters_gao,5596,1,0.27362961273397957,pass
Llama_3_8B&SVD_SWOW,n_meanings_websters_gao,5596,2,0.291876526345459,pass
Llama_3_8B&SVD_SWOW,n_meanings_websters_gao,5596,3,0.2801582331495568,pass
Llama_3_8B&SVD_SWOW,n_meanings_websters_gao,5596,4,0.29847028074998483,pass
Llama_3_8B&SVD_SWOW,n_meanings_websters_gao,5596,5,0.3158943958550703,pass
Llama_3_8B&SVD_SWOW,n_features_buchanan,2787,1,0.2118503932237038,pass
Llama_3_8B&SVD_SWOW,n_features_buchanan,2787,2,0.19675744767543601,pass
Llama_3_8B&SVD_SWOW,n_features_buchanan,2787,3,0.2298983394313463,pass
Llama_3_8B&SVD_SWOW,n_features_buchanan,2787,4,0.25975569296168377,pass
Llama_3_8B&SVD_SWOW,n_features_buchanan,2787,5,0.1878026789084145,pass
Llama_3_8B&SVD_SWOW,visual_lancaster,5828,1,0.5501094398644819,pass
