norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,1244,312,130,-0.2093245030910962,0.1032413761964727,pass
frequency_kucera,1183,296,130,-0.255080684350208,0.1676379755778782,pass
frequency_subtlexus,1262,316,130,-0.2441783595465522,0.1277075430717088,pass
frequency_subtlexuk,1261,316,130,-0.2270309748879544,0.1392872011323191,pass
frequency_blog_gimenes,1264,316,130,-0.2339823998383212,0.1201829495507261,pass
frequency_twitter_gimenes,1264,316,130,-0.2260217544379691,0.1144040752308532,pass
frequency_news_gimenes,1264,316,130,-0.2173868873676643,0.1152180311179825,pass
frequency_written_cobuild,1247,312,130,-0.1784781762792642,0.1139408337418856,pass
frequency_spoken_cobuild,1247,312,130,-0.1853193843911616,0.1307619486220845,pass
context_diversity_subtlexus,1262,316,130,-0.1827331713650605,0.0985862536442119,pass
context_diversity_subtlexuk,1261,316,130,-0.1667536310817595,0.1042833390087844,pass
context_diversity_blog_gimenes,1264,316,130,-0.2270809729037426,0.1159709649140547,pass
context_diversity_twitter_gimenes,1264,316,130,-0.2251724791633602,0.1138743240293601,pass
context_diversity_news_gimenes,1264,316,130,-0.2134753089610488,0.1127723871654406,pass
familiarity_glasgow,447,112,130,-0.0599220050173427,0.0554324313380161,pass
familiarity_brysbaert,1006,252,130,-0.0092128585859373,0.0108214206208938,pass
prevalence_brysbaert,1033,259,130,-0.0032542050581296,0.003389837032719,pass
aoa_kuperman,788,198,130,-0.1305087641214638,0.0550063263307591,pass
aoa_brysbaert,766,192,130,-0.128479667192995,0.0686233502051834,pass
aoa_glasgow,447,112,130,-0.0569267180999453,0.0496179320423959,pass
frequency_trajectory_brysbaert,1177,295,130,-0.0184391517187731,0.0161693393805386,pass
pos_brysbaert,1184,297,130,0.0050254741373531,0.0093971462671342,pass
pos_vanheuven,1215,304,130,0.0050843758420417,0.0083872472068393,pass
concreteness_brysbaert,1006,252,130,-0.0174034796747203,0.0304432192811807,pass
concreteness_glasgow,447,112,130,-0.0371455133736552,0.0406588272301402,pass
imageability_glasgow,447,112,130,-0.033560935656863,0.0372715675710051,pass
n_senses_wordnet_miller,1199,300,130,-0.0262161343071485,0.0239888288796663,pass
n_senses_wordsmyth_rice,48,13,130,,,test_n < 20
n_meanings_wordsmyth_rice,48,13,130,,,test_n < 20
n_meanings_websters_gao,963,241,130,-0.0262679337364408,0.0265376662211935,pass
n_features_buchanan,578,145,130,-0.0068965990192225,0.002383878691028,pass
visual_lancaster,1006,252,130,-0.0154961749518747,0.0229483141911153,pass
auditory_lancaster,1006,252,130,-0.0125711818520263,0.0059018451768911,pass
haptic_lancaster,1006,252,130,-0.0151426318638431,0.0130722438293316,pass
olfactory_lancaster,1006,252,130,-0.0094771804920049,0.0070868101870274,pass
gustatory_lancaster,1006,252,130,0.0009286956837822,0.0031190337109555,pass
interoceptive_lancaster,1006,252,130,-0.0178471318995679,0.0178999477216328,pass
head_lancaster,1006,252,130,-0.0055337806885392,0.0131449776800212,pass
torso_lancaster,1006,252,130,-0.0170703468883095,0.0123870454025257,pass
mouth_throat_lancaster,1006,252,130,-0.0122170563487588,0.020476474725962,pass
hand_arm_lancaster,1006,252,130,-0.0193691288392354,0.0169471477862578,pass
foot_leg_lancaster,1006,252,130,-0.0152111647968567,0.0168127338019418,pass
body_object_interact_pexman,640,160,130,-0.0367209996293223,0.0278278066505607,pass
child_body_object_interact,715,179,130,-0.0090279054534976,0.0175711289194314,pass
semantic_size_glasgow,447,112,130,-0.019660339454679,0.0184727224876671,pass
gender_association_glasgow,447,112,130,-0.0022747782519163,0.0064213570082425,pass
feature_visual_vinson,259,65,130,-0.0701939811469417,0.0465893053421374,pass
