embed,norm,train_n,fold,r2,check
Llama_3_8B&EEG_speech,frequency_lund,753,1,0.603702099889312,pass
Llama_3_8B&EEG_speech,frequency_lund,753,2,0.7167901329297108,pass
Llama_3_8B&EEG_speech,frequency_lund,753,3,0.7764554176275817,pass
Llama_3_8B&EEG_speech,frequency_lund,753,4,0.7454054041312319,pass
Llama_3_8B&EEG_speech,frequency_lund,753,5,0.7382609318262727,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,1,0.5268512236778814,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,2,0.6877368971444013,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,3,0.7020282736646177,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,4,0.6681547985840892,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,5,0.7087704477991638,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,1,0.6080722804383987,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,2,0.7315870487336473,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,3,0.7958834277790916,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,4,0.7342427285026574,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,5,0.7319594938103744,pass
Llama_3_8B&EEG_speech,frequency_subtlexuk,756,1,0.5641070987826435,pass
Llama_3_8B&EEG_speech,frequency_subtlexuk,756,2,0.7038829361314519,pass
Llama_3_8B&EEG_speech,frequency_subtlexuk,756,3,0.7764458470973573,pass
Llama_3_8B&EEG_speech,frequency_subtlexuk,756,4,0.6903170741002868,pass
Llama_3_8B&EEG_speech,frequency_subtlexuk,756,5,0.7426346068951922,pass
Llama_3_8B&EEG_speech,frequency_blog_gimenes,757,1,0.5981288340981804,pass
Llama_3_8B&EEG_speech,frequency_blog_gimenes,757,2,0.703419535575284,pass
Llama_3_8B&EEG_speech,frequency_blog_gimenes,757,3,0.776211030502419,pass
Llama_3_8B&EEG_speech,frequency_blog_gimenes,757,4,0.7512666284775273,pass
Llama_3_8B&EEG_speech,frequency_blog_gimenes,757,5,0.7527203598359279,pass
Llama_3_8B&EEG_speech,frequency_twitter_gimenes,757,1,0.6026190286850579,pass
Llama_3_8B&EEG_speech,frequency_twitter_gimenes,757,2,0.7195860229475339,pass
Llama_3_8B&EEG_speech,frequency_twitter_gimenes,757,3,0.7847782225583795,pass
Llama_3_8B&EEG_speech,frequency_twitter_gimenes,757,4,0.7501044145674943,pass
Llama_3_8B&EEG_speech,frequency_twitter_gimenes,757,5,0.741327143778008,pass
Llama_3_8B&EEG_speech,frequency_news_gimenes,757,1,0.5884104651020734,pass
Llama_3_8B&EEG_speech,frequency_news_gimenes,757,2,0.6962154092877928,pass
Llama_3_8B&EEG_speech,frequency_news_gimenes,757,3,0.7261531555450598,pass
Llama_3_8B&EEG_speech,frequency_news_gimenes,757,4,0.715778771926435,pass
Llama_3_8B&EEG_speech,frequency_news_gimenes,757,5,0.7360623052534222,pass
Llama_3_8B&EEG_speech,frequency_written_cobuild,752,1,0.5130624606319514,pass
Llama_3_8B&EEG_speech,frequency_written_cobuild,752,2,0.38533350256737053,pass
Llama_3_8B&EEG_speech,frequency_written_cobuild,752,3,0.4468612400089389,pass
Llama_3_8B&EEG_speech,frequency_written_cobuild,752,4,0.35041917879001383,pass
Llama_3_8B&EEG_speech,frequency_written_cobuild,752,5,0.45985021747809973,pass
Llama_3_8B&EEG_speech,frequency_spoken_cobuild,752,1,0.5632317039282836,pass
Llama_3_8B&EEG_speech,frequency_spoken_cobuild,752,2,0.4995061896316918,pass
Llama_3_8B&EEG_speech,frequency_spoken_cobuild,752,3,0.5112159441563067,pass
Llama_3_8B&EEG_speech,frequency_spoken_cobuild,752,4,0.4798867167733979,pass
Llama_3_8B&EEG_speech,frequency_spoken_cobuild,752,5,0.5065621368452783,pass
Llama_3_8B&EEG_speech,context_diversity_subtlexus,757,1,0.6558745634628347,pass
Llama_3_8B&EEG_speech,context_diversity_subtlexus,757,2,0.7144169691437957,pass
