embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,frequency_lund,753,1,0.7909167101352704,pass
BERT_base&Llama_3_8B,frequency_lund,753,2,0.850558647951315,pass
BERT_base&Llama_3_8B,frequency_lund,753,3,0.8526039855994925,pass
BERT_base&Llama_3_8B,frequency_lund,753,4,0.8456975145653868,pass
BERT_base&Llama_3_8B,frequency_lund,753,5,0.8724319616659678,pass
BERT_base&EEG_speech,frequency_lund,753,1,0.8282041685521073,pass
BERT_base&EEG_speech,frequency_lund,753,2,0.8480005688845001,pass
BERT_base&EEG_speech,frequency_lund,753,3,0.8487240028644922,pass
BERT_base&EEG_speech,frequency_lund,753,4,0.814215585029539,pass
BERT_base&EEG_speech,frequency_lund,753,5,0.8866512394966248,pass
Llama_3_8B&EEG_speech,frequency_lund,753,1,0.6037020998893132,pass
Llama_3_8B&EEG_speech,frequency_lund,753,2,0.7167901329297087,pass
Llama_3_8B&EEG_speech,frequency_lund,753,3,0.7764554176275802,pass
Llama_3_8B&EEG_speech,frequency_lund,753,4,0.7454054041312299,pass
Llama_3_8B&EEG_speech,frequency_lund,753,5,0.7382609318262705,pass
BERT_base&Llama_3_8B,frequency_kucera,740,1,0.73866841346892,pass
BERT_base&Llama_3_8B,frequency_kucera,740,2,0.7962943920016761,pass
BERT_base&Llama_3_8B,frequency_kucera,740,3,0.8198999996833618,pass
BERT_base&Llama_3_8B,frequency_kucera,740,4,0.7703466555902474,pass
BERT_base&Llama_3_8B,frequency_kucera,740,5,0.8343255047447593,pass
BERT_base&EEG_speech,frequency_kucera,740,1,0.8106927913853644,pass
BERT_base&EEG_speech,frequency_kucera,740,2,0.8061035004170022,pass
BERT_base&EEG_speech,frequency_kucera,740,3,0.8182888402108371,pass
BERT_base&EEG_speech,frequency_kucera,740,4,0.7279270711439324,pass
BERT_base&EEG_speech,frequency_kucera,740,5,0.8515033451281924,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,1,0.5268512236778818,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,2,0.687736897144401,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,3,0.7020282736646202,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,4,0.6681547985840985,pass
Llama_3_8B&EEG_speech,frequency_kucera,740,5,0.7087704477991577,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,1,0.7937377263317552,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,2,0.8512427414997156,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,3,0.8634989737328934,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,4,0.8438884856802392,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,5,0.839122721935973,pass
BERT_base&EEG_speech,frequency_subtlexus,757,1,0.8213691464421071,pass
BERT_base&EEG_speech,frequency_subtlexus,757,2,0.8530477756125898,pass
BERT_base&EEG_speech,frequency_subtlexus,757,3,0.8222277054931385,pass
BERT_base&EEG_speech,frequency_subtlexus,757,4,0.8084328183097242,pass
BERT_base&EEG_speech,frequency_subtlexus,757,5,0.8602034679531898,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,1,0.608072280438396,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,2,0.7315870487336442,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,3,0.7958834277790936,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,4,0.7342427285026596,pass
Llama_3_8B&EEG_speech,frequency_subtlexus,757,5,0.7319594938103738,pass
