embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
THINGS,behavior,frequency_lund,1117,280,49,0.0158062996702915,0.0126260328864428,pass
THINGS,behavior,frequency_kucera,786,197,49,0.0399277753272124,0.0105339938674951,pass
THINGS,behavior,frequency_subtlexus,1211,303,49,-0.0002251667875991,0.0200023602034142,pass
THINGS,behavior,frequency_subtlexuk,1206,302,49,0.0003708234084682,0.0152674394151231,pass
THINGS,behavior,frequency_blog_gimenes,1228,307,49,0.0516581856559242,0.0215468267226924,pass
THINGS,behavior,frequency_twitter_gimenes,1228,307,49,0.0364465964371804,0.0204686871218395,pass
THINGS,behavior,frequency_news_gimenes,1228,307,49,0.0191843821940838,0.0258605999225768,pass
THINGS,behavior,frequency_written_cobuild,1099,275,49,0.0258894877879457,0.0503526295503026,pass
THINGS,behavior,frequency_spoken_cobuild,1099,275,49,0.0267509924680455,0.0244323594600187,pass
THINGS,behavior,context_diversity_subtlexus,1211,303,49,0.0035604577845798,0.0184487616232007,pass
THINGS,behavior,context_diversity_subtlexuk,1206,302,49,-0.0044900798651943,0.010585578369167,pass
THINGS,behavior,context_diversity_blog_gimenes,1228,307,49,0.0520206354476754,0.0208968743140535,pass
THINGS,behavior,context_diversity_twitter_gimenes,1228,307,49,0.035632041410673,0.0203456870478411,pass
THINGS,behavior,context_diversity_news_gimenes,1228,307,49,0.018248115921094,0.0254650751330759,pass
THINGS,behavior,familiarity_glasgow,557,140,49,0.1412610644622517,0.0583965113665249,pass
THINGS,behavior,familiarity_brysbaert,1236,310,49,0.0002188754332852,0.0022766817542149,pass
THINGS,behavior,prevalence_brysbaert,1236,310,49,-0.0022206421331893,0.0024474529271883,pass
THINGS,behavior,aoa_kuperman,1194,299,49,0.1042237292257907,0.0330368975564251,pass
THINGS,behavior,aoa_brysbaert,1017,255,49,0.0823154525666296,0.0322985011019225,pass
THINGS,behavior,aoa_glasgow,557,140,49,0.1191664390409741,0.0427529443726966,pass
THINGS,behavior,frequency_trajectory_brysbaert,754,189,49,0.1945976280418203,0.0623663895651417,pass
THINGS,behavior,pos_brysbaert,1201,301,49,0.0184758544247519,0.0096542610872772,pass
THINGS,behavior,pos_vanheuven,1185,297,49,-0.0323115206780464,0.0751240926941731,pass
THINGS,behavior,concreteness_brysbaert,1236,310,49,0.019801389921801,0.0322815298268738,pass
THINGS,behavior,concreteness_glasgow,557,140,49,0.0684402450574155,0.0263118854734118,pass
THINGS,behavior,imageability_glasgow,557,140,49,0.0846419686148672,0.0322729500884027,pass
THINGS,behavior,n_senses_wordnet_miller,1104,277,49,-0.0034191721250534,0.0177491985076237,pass
THINGS,behavior,n_senses_wordsmyth_rice,96,25,49,-0.0044310737067915,0.0318921121777909,pass
THINGS,behavior,n_meanings_wordsmyth_rice,96,25,49,-0.0544848388069433,0.0440639197890675,pass
THINGS,behavior,n_meanings_websters_gao,955,239,49,0.036559814238762,0.0281534691120278,pass
THINGS,behavior,n_features_buchanan,633,159,49,0.0358692383579069,0.0149305551951531,pass
THINGS,behavior,visual_lancaster,1235,309,49,0.1085707230827427,0.0562425310255924,pass
THINGS,behavior,auditory_lancaster,1235,309,49,0.4963976253727956,0.018541607100704,pass
THINGS,behavior,haptic_lancaster,1235,309,49,0.2646212822947135,0.0329669262761714,pass
THINGS,behavior,olfactory_lancaster,1235,309,49,0.6424523884474114,0.0379236380278424,pass
THINGS,behavior,gustatory_lancaster,1235,309,49,0.8139686659681814,0.0405912263909874,pass
THINGS,behavior,interoceptive_lancaster,1235,309,49,0.1358342200011312,0.0372819789060794,pass
THINGS,behavior,head_lancaster,1235,309,49,0.2667643581531684,0.071037452216958,pass
THINGS,behavior,torso_lancaster,1235,309,49,0.3507966412990172,0.0501785279069902,pass
THINGS,behavior,mouth_throat_lancaster,1235,309,49,0.6690560436959896,0.0548318387775419,pass
THINGS,behavior,hand_arm_lancaster,1235,309,49,0.2904724649033829,0.0261143165241769,pass
THINGS,behavior,foot_leg_lancaster,1235,309,49,0.4234799113069402,0.0601536020612037,pass
THINGS,behavior,body_object_interact_pexman,1001,251,49,0.3404562620187429,0.0357883044500257,pass
THINGS,behavior,child_body_object_interact,513,129,49,0.2658237652169822,0.0662647940847328,pass
THINGS,behavior,semantic_size_glasgow,557,140,49,0.4658094568202683,0.0846908310282878,pass
THINGS,behavior,gender_association_glasgow,557,140,49,0.3975380646410662,0.0673059381555968,pass
THINGS,behavior,feature_visual_vinson,125,32,49,-0.4775937167625743,0.4694571882153837,pass
THINGS,behavior,feature_perceptual_vinson,121,31,49,,,too few classes (of sufficient size)
THINGS,behavior,feature_functional_vinson,106,27,49,,,too few classes (of sufficient size)
THINGS,behavior,feature_motoric_vinson,125,32,49,-3.3319138239287343,4.276456232824938,pass
THINGS,behavior,socialness_diveica,398,100,49,0.1116346645404952,0.0724763455777444,pass
THINGS,behavior,valence_warriner,1000,250,49,0.3349400975068125,0.036195857775376,pass
THINGS,behavior,valence_glasgow,557,140,49,0.3856526919760944,0.0317530726078673,pass
THINGS,behavior,valence_mohammad,1043,261,49,0.3278083775143072,0.0389653152146289,pass
THINGS,behavior,valence_older_kyrolainen,220,55,49,0.3176732538927829,0.0811795341607091,pass
THINGS,behavior,valence_younger_kyrolainen,220,55,49,0.2386364405447489,0.1180315819445862,pass
THINGS,behavior,arousal_warriner,1000,250,49,0.2012116372176314,0.0613194034270012,pass
THINGS,behavior,arousal_glasgow,557,140,49,0.2579857035894868,0.0432105336899617,pass
THINGS,behavior,arousal_mohammad,1043,261,49,0.3001292753979722,0.036688727876294,pass
THINGS,behavior,dominance_warriner,1000,250,49,0.1588310490797769,0.0450586437228257,pass
THINGS,behavior,dominance_glasgow,557,140,49,0.0711226688386349,0.0357297181686034,pass
THINGS,behavior,dominance_mohammad,1043,261,49,0.2906447714296199,0.0452876879920607,pass
THINGS,behavior,humor_engelthaler,625,157,49,0.1671409521229159,0.0651631553080961,pass
THINGS,behavior,anger_mohammad,719,180,49,-0.1561847154903898,0.2106479918635423,pass
THINGS,behavior,anticipation_mohammad,719,180,49,-0.7804786861093239,0.347837839287374,pass
THINGS,behavior,disgust_mohammad,719,180,49,-0.1501178452384182,0.3321612283881194,pass
THINGS,behavior,fear_mohammad,719,180,49,0.0107809151876214,0.2192086246890137,pass
THINGS,behavior,joy_mohammad,719,180,49,-0.728207008101825,0.5665931470905499,pass
THINGS,behavior,negative_emotion_mohammad,719,180,49,-0.1411191955944588,0.1262700158646911,pass
THINGS,behavior,positive_emotion_mohammad,719,180,49,-0.2585143240976743,0.1969089199442742,pass
THINGS,behavior,sadness_mohammad,704,176,49,,,too few classes (of sufficient size)
THINGS,behavior,surprise_mohammad,704,177,49,,,too few classes (of sufficient size)
THINGS,behavior,trust_mohammad,719,180,49,-0.3133180343687199,0.3073539365371229,pass
THINGS,behavior,semantic_diversity_hoffman,853,214,49,0.0433482362480055,0.0237474711298718,pass
THINGS,behavior,n_semantic_neighbors_shaoul,1121,281,49,0.0283864168102563,0.0203358563358862,pass
THINGS,behavior,distance_semantic_neighbors_shaoul,1121,281,49,0.0414219285275412,0.033178436523161,pass
THINGS,behavior,association_frequency_dedeyne,1080,271,49,0.0230446909916658,0.0209614335065857,pass
THINGS,behavior,cue_setsize_nelson,663,166,49,-0.0055055630318663,0.0093109529076529,pass
THINGS,behavior,cue_connectedness_nelson,663,166,49,0.0853671234009977,0.0916975709020359,pass
THINGS,behavior,cue_probability_nelson,663,166,49,0.0107574824629245,0.0139100406656536,pass
THINGS,behavior,cue_resonance_strength_nelson,663,166,49,-0.0048211521753737,0.0247253366026253,pass
THINGS,behavior,visual_lexical_rt_balota,1104,277,49,0.011096619331766,0.007828262888184,pass
THINGS,behavior,visual_lexical_rt_mandera,1236,310,49,0.0002708051354304,0.008919051456824,pass
THINGS,behavior,visual_lexical_rt_keuleers,868,218,49,0.0150388235698766,0.0140468887246158,pass
THINGS,behavior,visual_lexical_accuracy_balota,1104,277,49,0.0096389889466732,0.0091218871276177,pass
THINGS,behavior,visual_lexical_accuracy_mandera,1236,310,49,-0.0013651129880413,0.0025342409288911,pass
THINGS,behavior,visual_lexical_accuracy_keuleers,868,218,49,-0.0016450667201836,0.0101119475420491,pass
THINGS,behavior,auditory_lexical_rt_tucker,915,229,49,-0.0124296413251543,0.0204522909661211,pass
THINGS,behavior,auditory_lexical_rt_goh,792,198,49,-0.0008999117034634,0.0338334789585831,pass
THINGS,behavior,auditory_lexical_accuracy_tucker,915,229,49,0.001740702503479,0.005489003257952,pass
THINGS,behavior,auditory_lexical_accuracy_goh,792,198,49,0.0026423844269834,0.0243018326907234,pass
THINGS,behavior,naming_rt_balota,1104,277,49,-0.007201898801067,0.0135018538485389,pass
THINGS,behavior,naming_accuracy_balota,1104,277,49,-0.0074775861365308,0.0123258158784415,pass
THINGS,behavior,concreteness_rt_pexman,543,136,49,0.0499167967353413,0.0146501208998681,pass
THINGS,behavior,concreteness_accuracy_pexman,543,136,49,-0.0117141568825913,0.0368468907090838,pass
THINGS,behavior,recognition_memory_accuracy_cortese,588,148,49,0.1011272890805381,0.0315988215266835,pass
THINGS,behavior,vision_binder,128,32,49,0.2445399577576445,0.1215172915005618,pass
THINGS,behavior,bright_binder,128,32,49,0.1596433065030581,0.1819704719783489,pass
THINGS,behavior,dark_binder,128,32,49,0.0283477139264297,0.1733750690314999,pass
THINGS,behavior,color_binder,128,32,49,0.5020614098106629,0.0720465009748318,pass
THINGS,behavior,pattern_binder,128,32,49,0.2056252251670001,0.1780006932095063,pass
THINGS,behavior,large_binder,128,32,49,0.4447740014277694,0.1694765882148584,pass
THINGS,behavior,small_binder,128,32,49,0.3923871939537587,0.1523052165159255,pass
THINGS,behavior,motion_binder,128,32,49,0.7054444289592422,0.0588803538128703,pass
THINGS,behavior,biomotion_binder,128,32,49,0.8723322710582815,0.0425045086993693,pass
THINGS,behavior,fast_binder,128,32,49,0.6427202983485782,0.0477937034948092,pass
THINGS,behavior,slow_binder,128,32,49,0.2970033861932122,0.1453979443648945,pass
THINGS,behavior,shape_binder,128,32,49,0.3166741689880633,0.1192703513612766,pass
THINGS,behavior,complexity_binder,127,32,49,0.5245210712684933,0.114024172069323,pass
THINGS,behavior,face_binder,128,32,49,0.4994263380586289,0.1661630103872064,pass
THINGS,behavior,body_binder,128,32,49,0.8340578661863978,0.052230514175412,pass
THINGS,behavior,touch_binder,128,32,49,0.2746511778621052,0.1094473250279865,pass
THINGS,behavior,temperature_binder,128,32,49,0.3505812267280283,0.1257526130027693,pass
THINGS,behavior,texture_binder,128,32,49,0.0401714839699087,0.1135176377887682,pass
THINGS,behavior,weight_binder,128,32,49,0.2781594934368455,0.1755909385539242,pass
THINGS,behavior,pain_binder,128,32,49,0.2913660274402798,0.1379829125718588,pass
THINGS,behavior,audition_binder,128,32,49,0.6619014071227127,0.0894062706284156,pass
THINGS,behavior,loud_binder,128,32,49,0.6556727188808432,0.0720418001334051,pass
THINGS,behavior,low_binder,128,32,49,0.5767935220958887,0.0788114590529629,pass
