embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
BERT_base,text,frequency_lund,7840,1961,768,0.788606001258998,0.0084311918212853,pass
BERT_base,text,frequency_kucera,6788,1698,768,0.7220322625485993,0.010216636398945,pass
BERT_base,text,frequency_subtlexus,7921,1981,768,0.7764703893806086,0.0084146198342956,pass
BERT_base,text,frequency_subtlexuk,7900,1975,768,0.7495724246221086,0.0107664194808339,pass
BERT_base,text,frequency_blog_gimenes,7923,1981,768,0.806437341049514,0.0065331252398837,pass
BERT_base,text,frequency_twitter_gimenes,7923,1981,768,0.7836914223032047,0.0099660707284949,pass
BERT_base,text,frequency_news_gimenes,7923,1981,768,0.7876575287620025,0.0053696898739392,pass
BERT_base,text,frequency_written_cobuild,7742,1936,768,0.5943202703515749,0.008603799194069,pass
BERT_base,text,frequency_spoken_cobuild,7742,1936,768,0.5884404302284627,0.0122275079955738,pass
BERT_base,text,context_diversity_subtlexus,7921,1981,768,0.7753701583436312,0.0066410972949983,pass
BERT_base,text,context_diversity_subtlexuk,7900,1975,768,0.7555613804434302,0.0072707043235555,pass
BERT_base,text,context_diversity_blog_gimenes,7923,1981,768,0.8103594594907383,0.0065523579987036,pass
BERT_base,text,context_diversity_twitter_gimenes,7923,1981,768,0.7844045350652071,0.0100360052182802,pass
BERT_base,text,context_diversity_news_gimenes,7923,1981,768,0.7896288465310269,0.0050578603095775,pass
BERT_base,text,familiarity_glasgow,2956,739,768,0.5927513108139575,0.0279044077267335,pass
BERT_base,text,familiarity_brysbaert,7780,1946,768,0.1821665693310794,0.0137207199675727,pass
BERT_base,text,prevalence_brysbaert,7908,1978,768,0.4154245243092043,0.0243685306172833,pass
BERT_base,text,aoa_kuperman,7564,1892,768,0.6534355480371175,0.0065893851253923,pass
BERT_base,text,aoa_brysbaert,7156,1790,768,0.6925086565949865,0.0063052804749089,pass
BERT_base,text,aoa_glasgow,2956,739,768,0.6966937118063268,0.0134796503145141,pass
BERT_base,text,frequency_trajectory_brysbaert,5763,1441,768,0.7322610632506393,0.0110314245544634,pass
BERT_base,text,pos_brysbaert,7863,1966,768,0.7868155852522826,0.0177718938782938,pass
BERT_base,text,pos_vanheuven,7840,1961,768,0.689930944184729,0.0151835323427681,pass
BERT_base,text,concreteness_brysbaert,7780,1946,768,0.8251632755052272,0.0052521893530578,pass
BERT_base,text,concreteness_glasgow,2956,739,768,0.8396480909649139,0.0151494130693902,pass
BERT_base,text,imageability_glasgow,2956,739,768,0.7746782720985058,0.0074637119015995,pass
BERT_base,text,n_senses_wordnet_miller,7743,1936,768,0.448912111599374,0.0152845526127488,pass
BERT_base,text,n_senses_wordsmyth_rice,391,98,768,0.2734365986113186,0.0545438564575351,pass
BERT_base,text,n_meanings_wordsmyth_rice,391,98,768,-0.0160842910650226,0.036228715798036,pass
BERT_base,text,n_meanings_websters_gao,7377,1845,768,0.3106124596847436,0.0222598732635994,pass
BERT_base,text,n_features_buchanan,2820,706,768,0.2182976837131792,0.0294019558812531,pass
BERT_base,text,visual_lancaster,7774,1944,768,0.5170515600080648,0.0135203263127839,pass
BERT_base,text,auditory_lancaster,7774,1944,768,0.5888202942341795,0.0160972233027676,pass
BERT_base,text,haptic_lancaster,7774,1944,768,0.5978143172109782,0.013366531135555,pass
BERT_base,text,olfactory_lancaster,7774,1944,768,0.5567758748891984,0.0229388319488476,pass
BERT_base,text,gustatory_lancaster,7774,1944,768,0.6666554929275565,0.040716775811069,pass
BERT_base,text,interoceptive_lancaster,7774,1944,768,0.6306391332452861,0.0076573573850496,pass
BERT_base,text,head_lancaster,7774,1944,768,0.3888175214086763,0.0089981739804033,pass
BERT_base,text,torso_lancaster,7774,1944,768,0.4474303791047972,0.0095522065181299,pass
BERT_base,text,mouth_throat_lancaster,7774,1944,768,0.5500820028718497,0.0133028756020171,pass
BERT_base,text,hand_arm_lancaster,7774,1944,768,0.5136995110988936,0.0163871589049807,pass
BERT_base,text,foot_leg_lancaster,7774,1944,768,0.4980922171338492,0.0162472455123351,pass
BERT_base,text,body_object_interact_pexman,4960,1240,768,0.71496701176695,0.013401286254585,pass
BERT_base,text,child_body_object_interact,2204,551,768,0.6253020319550691,0.0139694057298276,pass
BERT_base,text,semantic_size_glasgow,2956,739,768,0.727153904969048,0.0149565535968688,pass
BERT_base,text,gender_association_glasgow,2956,739,768,0.6752207225959657,0.0379522508576155,pass
BERT_base,text,feature_visual_vinson,730,183,768,0.2562303986926045,0.0413909349759031,pass
BERT_base,text,feature_perceptual_vinson,730,183,768,0.1809464927238936,0.0873744236494683,pass
BERT_base,text,feature_functional_vinson,730,183,768,0.2233086445520199,0.0502037412774915,pass
BERT_base,text,feature_motoric_vinson,730,183,768,0.1933607421998508,0.0999170134910912,pass
BERT_base,text,socialness_diveica,4395,1099,768,0.7319952626633469,0.0144129833264532,pass
BERT_base,text,valence_warriner,6748,1687,768,0.6899615003433383,0.0058380609191671,pass
BERT_base,text,valence_glasgow,2956,739,768,0.7830271847829393,0.0187180990011866,pass
BERT_base,text,valence_mohammad,7248,1813,768,0.6966627366664749,0.0102041411258329,pass
BERT_base,text,valence_older_kyrolainen,2151,538,768,0.7365151128685605,0.0215990429151044,pass
BERT_base,text,valence_younger_kyrolainen,2151,538,768,0.7601793263409724,0.0160023092473154,pass
BERT_base,text,arousal_warriner,6748,1687,768,0.4226880562309562,0.0125352281459066,pass
BERT_base,text,arousal_glasgow,2956,739,768,0.6213017284939504,0.0274211859999426,pass
BERT_base,text,arousal_mohammad,7248,1813,768,0.5749262600111733,0.0182998281526476,pass
BERT_base,text,dominance_warriner,6748,1687,768,0.5196596442324898,0.0089124719470035,pass
BERT_base,text,dominance_glasgow,2956,739,768,0.5920242183074381,0.0348796939408475,pass
BERT_base,text,dominance_mohammad,7248,1813,768,0.6062902969568007,0.0148578981065416,pass
BERT_base,text,humor_engelthaler,3204,801,768,0.496818156027447,0.0225404509870752,pass
BERT_base,text,anger_mohammad,6291,1573,768,0.3546359122297995,0.0128742522314684,pass
BERT_base,text,anticipation_mohammad,6291,1573,768,0.1679544198377676,0.0278885158048078,pass
BERT_base,text,disgust_mohammad,6291,1573,768,0.3688646845889701,0.0483331570146604,pass
BERT_base,text,fear_mohammad,6291,1573,768,0.3488933776846484,0.0234894904452512,pass
BERT_base,text,joy_mohammad,6291,1573,768,0.36603855005079,0.0166858797915131,pass
BERT_base,text,negative_emotion_mohammad,6291,1573,768,0.4743762715488362,0.016128355760131,pass
BERT_base,text,positive_emotion_mohammad,6291,1573,768,0.3220852484877456,0.0113821759329314,pass
BERT_base,text,sadness_mohammad,6291,1573,768,0.3425177723729249,0.029614523019457,pass
BERT_base,text,surprise_mohammad,6291,1573,768,0.1781145408047091,0.0308199254986815,pass
