embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
fastText_CommonCrawl,text,frequency_lund,28423,7106,300,0.0836693418891077,0.249256389914785,pass
fastText_CommonCrawl,text,frequency_kucera,19332,4833,300,-1.0374806132924737,1.0797810760332418,pass
fastText_CommonCrawl,text,frequency_subtlexus,28938,7235,300,0.171677235261545,0.363417762948888,pass
fastText_CommonCrawl,text,frequency_subtlexuk,29570,7393,300,0.2591526028379447,0.3022323401992625,pass
fastText_CommonCrawl,text,frequency_blog_gimenes,32329,8083,300,-0.1327061062098998,0.4648529256220233,pass
fastText_CommonCrawl,text,frequency_twitter_gimenes,32329,8083,300,-0.1964806219182633,0.9278871913521634,pass
fastText_CommonCrawl,text,frequency_news_gimenes,32329,8083,300,-0.0176428440303437,0.5043542299831478,pass
fastText_CommonCrawl,text,frequency_written_cobuild,26912,6728,300,-1.87140224524452,3.004848202371038,pass
fastText_CommonCrawl,text,frequency_spoken_cobuild,26912,6728,300,-1.4970391247755628,1.5591438764372372,pass
fastText_CommonCrawl,text,context_diversity_subtlexus,28938,7235,300,0.1436981666464124,0.3975838851232881,pass
fastText_CommonCrawl,text,context_diversity_subtlexuk,29570,7393,300,0.2734997896988765,0.2945594844641683,pass
fastText_CommonCrawl,text,context_diversity_blog_gimenes,32329,8083,300,-0.1365318915280461,0.4799329575167932,pass
fastText_CommonCrawl,text,context_diversity_twitter_gimenes,32329,8083,300,-0.2021040106108293,0.9337156401316342,pass
fastText_CommonCrawl,text,context_diversity_news_gimenes,32329,8083,300,-0.0190048564146125,0.5094028118011152,pass
fastText_CommonCrawl,text,familiarity_glasgow,3705,927,300,0.2800746592168873,0.2661899200053099,pass
fastText_CommonCrawl,text,familiarity_brysbaert,28210,7053,300,-0.0166280517119535,0.2588262730543752,pass
fastText_CommonCrawl,text,prevalence_brysbaert,30227,7557,300,0.1865994827718552,0.1166704203343641,pass
fastText_CommonCrawl,text,aoa_kuperman,20402,5101,300,0.4765292447055024,0.115807754402903,pass
fastText_CommonCrawl,text,aoa_brysbaert,14194,3549,300,0.5675266165672713,0.0922427965107085,pass
fastText_CommonCrawl,text,aoa_glasgow,3705,927,300,0.625046368763817,0.1526274814232277,pass
fastText_CommonCrawl,text,frequency_trajectory_brysbaert,12308,3077,300,0.6379939642333713,0.0954007508531039,pass
fastText_CommonCrawl,text,pos_brysbaert,28880,7220,300,0.7374359061632053,0.077038204348729,pass
fastText_CommonCrawl,text,pos_vanheuven,29518,7380,300,0.6857036634269524,0.0420347831262644,pass
fastText_CommonCrawl,text,concreteness_brysbaert,28210,7053,300,0.7428644572603419,0.0448429060410816,pass
fastText_CommonCrawl,text,concreteness_glasgow,3705,927,300,0.800844818221994,0.0423605190645216,pass
fastText_CommonCrawl,text,imageability_glasgow,3705,927,300,0.7449548485899479,0.045644611435827,pass
fastText_CommonCrawl,text,n_senses_wordnet_miller,23767,5942,300,0.2760475408129717,0.1583966994296976,pass
fastText_CommonCrawl,text,n_senses_wordsmyth_rice,424,107,300,0.0401872593472627,0.1946539080537823,pass
fastText_CommonCrawl,text,n_meanings_wordsmyth_rice,424,107,300,-0.0078597609918321,0.0137441949074023,pass
fastText_CommonCrawl,text,n_meanings_websters_gao,20172,5043,300,-0.0247078716738786,0.3113528394205532,pass
fastText_CommonCrawl,text,n_features_buchanan,3504,877,300,0.1432118725648747,0.0768175617724438,pass
fastText_CommonCrawl,text,visual_lancaster,28168,7043,300,0.4254952142562754,0.0656363386488698,pass
fastText_CommonCrawl,text,auditory_lancaster,28168,7043,300,0.5058034384619168,0.0453019351527631,pass
fastText_CommonCrawl,text,haptic_lancaster,28168,7043,300,0.5228063320855022,0.0505188977834228,pass
fastText_CommonCrawl,text,olfactory_lancaster,28168,7043,300,0.4165883495826364,0.1169209610677953,pass
fastText_CommonCrawl,text,gustatory_lancaster,28168,7043,300,0.4585753819323763,0.1938558063054798,pass
fastText_CommonCrawl,text,interoceptive_lancaster,28168,7043,300,0.5264301787495886,0.0597360262317503,pass
fastText_CommonCrawl,text,head_lancaster,28168,7043,300,0.3007528232624005,0.0428060882485398,pass
fastText_CommonCrawl,text,torso_lancaster,28168,7043,300,0.3444974857260391,0.0742163559134132,pass
fastText_CommonCrawl,text,mouth_throat_lancaster,28168,7043,300,0.4356759317763511,0.0637642944463762,pass
fastText_CommonCrawl,text,hand_arm_lancaster,28168,7043,300,0.4238349899433221,0.055835500188293,pass
fastText_CommonCrawl,text,foot_leg_lancaster,28168,7043,300,0.3817559578844376,0.0754216977906778,pass
fastText_CommonCrawl,text,body_object_interact_pexman,7437,1860,300,0.6159165724128934,0.0869655661641951,pass
fastText_CommonCrawl,text,child_body_object_interact,2677,670,300,0.5493217946412041,0.1209542273267895,pass
fastText_CommonCrawl,text,semantic_size_glasgow,3705,927,300,0.6292356055439908,0.0547647671883935,pass
fastText_CommonCrawl,text,gender_association_glasgow,3705,927,300,0.6517484036596422,0.0394936128839091,pass
fastText_CommonCrawl,text,feature_visual_vinson,782,196,300,0.2999288075638214,0.0136165941495118,pass
fastText_CommonCrawl,text,feature_perceptual_vinson,782,196,300,0.2024486553397047,0.0966975082708112,pass
fastText_CommonCrawl,text,feature_functional_vinson,782,196,300,0.2128213452398188,0.0684876876092591,pass
fastText_CommonCrawl,text,feature_motoric_vinson,782,196,300,0.2360279188082796,0.1774176659191002,pass
fastText_CommonCrawl,text,socialness_diveica,6707,1677,300,0.6639624655753976,0.0290220942871766,pass
fastText_CommonCrawl,text,valence_warriner,10912,2729,300,0.6243177805846603,0.0475797859999487,pass
fastText_CommonCrawl,text,valence_glasgow,3705,927,300,0.7119956591025434,0.047268042535973,pass
fastText_CommonCrawl,text,valence_mohammad,14716,3679,300,0.5793565509172467,0.054992878402981,pass
fastText_CommonCrawl,text,valence_older_kyrolainen,2860,715,300,0.6497672480952228,0.0613372751595181,pass
fastText_CommonCrawl,text,valence_younger_kyrolainen,2860,715,300,0.6723087700132793,0.063890311726631,pass
fastText_CommonCrawl,text,arousal_warriner,10912,2729,300,0.3911326836253978,0.0361126092246882,pass
fastText_CommonCrawl,text,arousal_glasgow,3705,927,300,0.5550994731044377,0.0554178963006384,pass
fastText_CommonCrawl,text,arousal_mohammad,14716,3679,300,0.4759255002270266,0.0401503957385818,pass
fastText_CommonCrawl,text,dominance_warriner,10912,2729,300,0.4589087163529871,0.0612504562536968,pass
fastText_CommonCrawl,text,dominance_glasgow,3705,927,300,0.4953422595102667,0.0658474282701639,pass
fastText_CommonCrawl,text,dominance_mohammad,14716,3679,300,0.4901074429873008,0.0462253204310555,pass
fastText_CommonCrawl,text,humor_engelthaler,3972,993,300,0.3896763906024977,0.1004330245895514,pass
fastText_CommonCrawl,text,anger_mohammad,10676,2669,300,0.3664377963389865,0.0117549117712062,pass
fastText_CommonCrawl,text,anticipation_mohammad,10676,2669,300,0.1292585831899655,0.0603445833285671,pass
fastText_CommonCrawl,text,disgust_mohammad,10676,2669,300,0.355844532533676,0.0560284639689341,pass
fastText_CommonCrawl,text,fear_mohammad,10676,2669,300,0.3435284679199432,0.0400237380786105,pass
fastText_CommonCrawl,text,joy_mohammad,10676,2669,300,0.3653670996507603,0.043037714151736,pass
fastText_CommonCrawl,text,negative_emotion_mohammad,10676,2669,300,0.4370612112819635,0.0525262202993428,pass
fastText_CommonCrawl,text,positive_emotion_mohammad,10676,2669,300,0.2759394640766154,0.0797589327909022,pass
fastText_CommonCrawl,text,sadness_mohammad,10676,2669,300,0.3568705197382474,0.032667484578383,pass
fastText_CommonCrawl,text,surprise_mohammad,10676,2669,300,0.1895286279648253,0.0261730354552026,pass
fastText_CommonCrawl,text,trust_mohammad,10676,2669,300,0.1956370328618277,0.0829999792751136,pass
fastText_CommonCrawl,text,semantic_diversity_hoffman,19204,4802,300,0.6445720771696319,0.0415445919409592,pass
fastText_CommonCrawl,text,n_semantic_neighbors_shaoul,26564,6642,300,-5.052181432396437,7.906428452874781,pass
fastText_CommonCrawl,text,distance_semantic_neighbors_shaoul,26564,6642,300,-0.1792867470926348,0.7411429781760641,pass
fastText_CommonCrawl,text,association_frequency_dedeyne,20604,5151,300,0.3322255317363733,0.1704201685060572,pass
fastText_CommonCrawl,text,cue_setsize_nelson,3963,991,300,0.0455989209499705,0.0326508009187856,pass
fastText_CommonCrawl,text,cue_connectedness_nelson,3963,991,300,0.0931982333257563,0.0286381653823784,pass
fastText_CommonCrawl,text,cue_probability_nelson,3963,991,300,-0.0313471288590668,0.1808310286638992,pass
fastText_CommonCrawl,text,cue_resonance_strength_nelson,3963,991,300,-0.0984698638468797,0.2674725156117111,pass
fastText_CommonCrawl,text,visual_lexical_rt_balota,23766,5942,300,0.2494874338661425,0.0758314548880079,pass
fastText_CommonCrawl,text,visual_lexical_rt_mandera,30225,7557,300,0.2469564840486489,0.064460809019343,pass
fastText_CommonCrawl,text,visual_lexical_rt_keuleers,14135,3534,300,0.0898536347573832,0.1802117682153908,pass
fastText_CommonCrawl,text,visual_lexical_accuracy_balota,23796,5949,300,-0.5325602011714625,1.2206594188275708,pass
fastText_CommonCrawl,text,visual_lexical_accuracy_mandera,30225,7557,300,0.1029688064507988,0.171335388986972,pass
fastText_CommonCrawl,text,visual_lexical_accuracy_keuleers,14135,3534,300,-0.7902562357030345,1.8172263782673408,pass
fastText_CommonCrawl,text,auditory_lexical_rt_tucker,17029,4258,300,0.0352733185658758,0.0235977173362281,pass
fastText_CommonCrawl,text,auditory_lexical_rt_goh,8003,2001,300,0.1568882967391328,0.0969041455494385,pass
fastText_CommonCrawl,text,auditory_lexical_accuracy_tucker,17118,4280,300,-0.06439529023213,0.1225574088187011,pass
fastText_CommonCrawl,text,auditory_lexical_accuracy_goh,8004,2002,300,-0.0194958928924409,0.2315600523651807,pass
fastText_CommonCrawl,text,naming_rt_balota,23767,5942,300,0.2880138952323626,0.0882905244983734,pass
fastText_CommonCrawl,text,naming_accuracy_balota,23767,5942,300,-0.1884807436690287,0.5195657905630381,pass
fastText_CommonCrawl,text,concreteness_rt_pexman,7977,1995,300,0.250969363867844,0.0563526817655552,pass
fastText_CommonCrawl,text,concreteness_accuracy_pexman,7978,1995,300,0.1431586063852029,0.0243134747025015,pass
fastText_CommonCrawl,text,recognition_memory_accuracy_cortese,3794,949,300,0.2973266787989875,0.0507070928388585,pass
fastText_CommonCrawl,text,vision_binder,425,107,300,0.6894354389902912,0.0875669039642903,pass
fastText_CommonCrawl,text,bright_binder,425,107,300,0.4328458123528789,0.0761851189955778,pass
fastText_CommonCrawl,text,dark_binder,425,107,300,0.2093093891808894,0.0630252853709854,pass
fastText_CommonCrawl,text,color_binder,425,107,300,0.5757421465175463,0.1403515577589563,pass
fastText_CommonCrawl,text,pattern_binder,425,107,300,0.5516271286649099,0.1121671955860828,pass
fastText_CommonCrawl,text,large_binder,425,107,300,0.5804807182706206,0.0699030894564482,pass
fastText_CommonCrawl,text,small_binder,425,107,300,0.48433628088189,0.1730444291575876,pass
fastText_CommonCrawl,text,motion_binder,425,107,300,0.5270627405597956,0.1203243760696445,pass
fastText_CommonCrawl,text,biomotion_binder,425,107,300,0.6701403822089673,0.0894319983619997,pass
fastText_CommonCrawl,text,fast_binder,425,107,300,0.4978972757994692,0.1068791890325752,pass
fastText_CommonCrawl,text,slow_binder,425,107,300,0.3179696530981035,0.0816771748087077,pass
fastText_CommonCrawl,text,shape_binder,425,107,300,0.6789408543139045,0.104830449278505,pass
fastText_CommonCrawl,text,complexity_binder,347,87,300,0.5969654926130173,0.0415121184170545,pass
fastText_CommonCrawl,text,face_binder,425,107,300,0.5761095488259756,0.1974416350701484,pass
fastText_CommonCrawl,text,body_binder,425,107,300,0.5700623383558552,0.1090534183410257,pass
fastText_CommonCrawl,text,touch_binder,425,107,300,0.5726726613571629,0.0975692634318339,pass
fastText_CommonCrawl,text,temperature_binder,425,107,300,0.4637842840020759,0.1586076545340648,pass
fastText_CommonCrawl,text,texture_binder,425,107,300,0.6125124922869574,0.1168274626533387,pass
fastText_CommonCrawl,text,weight_binder,425,107,300,0.5257010999348932,0.1417936375718136,pass
fastText_CommonCrawl,text,pain_binder,425,107,300,0.5426266274208482,0.1687417119561501,pass
fastText_CommonCrawl,text,audition_binder,425,107,300,0.5157966133571723,0.1192569052529354,pass
fastText_CommonCrawl,text,loud_binder,425,107,300,0.5114029551123543,0.1883288815182302,pass
fastText_CommonCrawl,text,low_binder,425,107,300,0.3311888441194962,0.1613536258094105,pass
fastText_CommonCrawl,text,high_binder,425,107,300,0.4175960997480718,0.1716766759632862,pass
fastText_CommonCrawl,text,sound_binder,425,107,300,0.4925873360855835,0.1353684029362779,pass
fastText_CommonCrawl,text,music_binder,425,107,300,0.1456668340356742,0.7222668397019634,pass
fastText_CommonCrawl,text,speech_binder,425,107,300,0.5630535756450602,0.1409534666358803,pass
fastText_CommonCrawl,text,taste_binder,425,107,300,0.6290734635381952,0.1854831602332741,pass
fastText_CommonCrawl,text,smell_binder,425,107,300,0.5658075041274031,0.1157028042131305,pass
fastText_CommonCrawl,text,head_binder,425,107,300,0.4688492279794251,0.1192421643942925,pass
fastText_CommonCrawl,text,upper_limb_binder,425,107,300,0.4244450365271329,0.0882537924668688,pass
fastText_CommonCrawl,text,lower_limb_binder,425,107,300,0.3155498064983167,0.1256589063395636,pass
fastText_CommonCrawl,text,practice_binder,394,99,300,0.6306664129885183,0.0476474419255999,pass
fastText_CommonCrawl,text,landmark_binder,425,107,300,0.4613027659528066,0.2262422242607054,pass
fastText_CommonCrawl,text,path_binder,425,107,300,0.4902089882394449,0.0922380539396818,pass
fastText_CommonCrawl,text,scene_binder,425,107,300,0.543819225274704,0.0737836348023331,pass
fastText_CommonCrawl,text,near_binder,425,107,300,0.4159383022490985,0.2351028935966422,pass
fastText_CommonCrawl,text,toward_binder,425,107,300,0.320533871207558,0.0861985530487242,pass
fastText_CommonCrawl,text,away_binder,425,107,300,0.2650893735284151,0.0967036087587304,pass
fastText_CommonCrawl,text,number_binder,425,107,300,0.0931455554153011,0.424993496625796,pass
