norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,28131,7033,300,-0.2994458638572222,0.6289291164462968,pass
frequency_kucera,19284,4821,300,-0.9827819044890042,1.1156946276830568,pass
frequency_subtlexus,28749,7188,300,0.1295891645585157,0.5068189810621041,pass
frequency_subtlexuk,29446,7362,300,0.1053106975167934,0.5244551879596071,pass
frequency_blog_gimenes,31966,7992,300,-0.1957208914786794,0.7884894698859534,pass
frequency_twitter_gimenes,31966,7992,300,0.0194518303534224,0.6573803759241874,pass
frequency_news_gimenes,31966,7992,300,-0.1631700227290707,0.6877018692778288,pass
frequency_written_cobuild,26639,6660,300,-3.245224733733243,5.688900623505479,pass
frequency_spoken_cobuild,26639,6660,300,-5.320583191336117,8.616513514653384,pass
context_diversity_subtlexus,28749,7188,300,0.136457394335614,0.499940659159417,pass
context_diversity_subtlexuk,29446,7362,300,0.114389924766238,0.5278300082876562,pass
context_diversity_blog_gimenes,31966,7992,300,-0.2057288663949854,0.8104313060626124,pass
context_diversity_twitter_gimenes,31966,7992,300,0.0176883390418256,0.6580503412938908,pass
context_diversity_news_gimenes,31966,7992,300,-0.1695167135596244,0.6965185133171876,pass
familiarity_glasgow,3705,927,300,0.2685944072298576,0.3325484120695237,pass
familiarity_brysbaert,27196,6800,300,0.0391366779539508,0.194155940462056,pass
prevalence_brysbaert,29206,7302,300,0.2173251638307465,0.1290583426408788,pass
aoa_kuperman,20227,5057,300,0.4739635402374542,0.113900476246275,pass
aoa_brysbaert,14172,3544,300,0.5335896121515104,0.1231868258893366,pass
aoa_glasgow,3705,927,300,0.6090595407540087,0.1385670784919425,pass
frequency_trajectory_brysbaert,12294,3074,300,0.5815730417289494,0.1045040275909315,pass
pos_brysbaert,28692,7173,300,0.6858296800480902,0.1007332880236666,pass
pos_vanheuven,29394,7349,300,0.6517703946483053,0.0676159247040216,pass
concreteness_brysbaert,27196,6800,300,0.7207089464711455,0.0470105319043403,pass
concreteness_glasgow,3705,927,300,0.7749877399778973,0.0610829571788889,pass
imageability_glasgow,3705,927,300,0.7089226210081957,0.0625689471505209,pass
n_senses_wordnet_miller,23663,5916,300,0.2507170918988768,0.2198140096730922,pass
n_senses_wordsmyth_rice,424,107,300,0.03504828345942,0.1481213587479945,pass
n_meanings_wordsmyth_rice,424,107,300,-0.0030040322409377,0.0107243357938697,pass
n_meanings_websters_gao,19708,4927,300,-0.0056239406838856,0.278517382399123,pass
n_features_buchanan,3504,877,300,0.1410662003225883,0.0647175041873992,pass
visual_lancaster,27155,6789,300,0.4091396502763603,0.0456687964063884,pass
auditory_lancaster,27155,6789,300,0.4658722455031631,0.0347396212003788,pass
haptic_lancaster,27155,6789,300,0.5046399952824341,0.0316658025435572,pass
olfactory_lancaster,27155,6789,300,0.4001622300668414,0.0605442336931148,pass
gustatory_lancaster,27155,6789,300,0.4785400804336621,0.05034592275035,pass
interoceptive_lancaster,27155,6789,300,0.5010827574586342,0.0512411672919082,pass
head_lancaster,27155,6789,300,0.2714589809526246,0.0266489457254528,pass
torso_lancaster,27155,6789,300,0.3204794766561337,0.0446078180860725,pass
mouth_throat_lancaster,27155,6789,300,0.4050169299982046,0.027957916145052,pass
hand_arm_lancaster,27155,6789,300,0.4090658365590894,0.0340430415571397,pass
foot_leg_lancaster,27155,6789,300,0.3493732620425417,0.0536113525512973,pass
body_object_interact_pexman,7422,1856,300,0.5640106427679403,0.0831219298628059,pass
child_body_object_interact,2677,670,300,0.4566048214403522,0.1152450411548778,pass
semantic_size_glasgow,3705,927,300,0.5630755144804919,0.0643785301964597,pass
gender_association_glasgow,3705,927,300,0.615307516239749,0.0424676131899664,pass
feature_visual_vinson,782,196,300,0.3027248196932432,0.0653091808622955,pass
feature_perceptual_vinson,782,196,300,0.1553805468367721,0.1675353811566026,pass
feature_functional_vinson,782,196,300,0.1154571870274634,0.0861006810679578,pass
feature_motoric_vinson,782,196,300,0.1573962790626635,0.2140053311875752,pass
socialness_diveica,6704,1676,300,0.6309399953105042,0.0349376464682982,pass
valence_warriner,10908,2728,300,0.5894888206922703,0.0460333846531507,pass
valence_glasgow,3705,927,300,0.6816531727166038,0.0577428847984888,pass
valence_mohammad,14708,3677,300,0.5465773212997538,0.0695019512084716,pass
valence_older_kyrolainen,2860,715,300,0.6170369338373394,0.070176316964564,pass
valence_younger_kyrolainen,2860,715,300,0.637544974793663,0.0630306701616627,pass
arousal_warriner,10908,2728,300,0.367535961358915,0.0222390726294088,pass
arousal_glasgow,3705,927,300,0.5128439290160235,0.046913293295094,pass
arousal_mohammad,14708,3677,300,0.4515672808546638,0.0353412647943895,pass
dominance_warriner,10908,2728,300,0.4406321025153928,0.0585489224074783,pass
dominance_glasgow,3705,927,300,0.4867035389088825,0.061917867443868,pass
dominance_mohammad,14708,3677,300,0.4392397569227891,0.0702439710183207,pass
humor_engelthaler,3972,993,300,0.3133643294041088,0.0953318880701278,pass
