embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
SVD_EAT,behavior,frequency_lund,6078,1520,300,0.3989110398524681,0.0260892663120386,pass
SVD_EAT,behavior,frequency_kucera,5316,1329,300,0.4373590250158314,0.0245785631097169,pass
SVD_EAT,behavior,frequency_subtlexus,6139,1535,300,0.3721637306719869,0.0343890700548914,pass
SVD_EAT,behavior,frequency_subtlexuk,6188,1547,300,0.3798197547065696,0.0334516374469201,pass
SVD_EAT,behavior,frequency_blog_gimenes,6176,1545,300,0.4048656645415122,0.0305509025013607,pass
SVD_EAT,behavior,frequency_twitter_gimenes,6176,1545,300,0.3527803280073548,0.0207466122913545,pass
SVD_EAT,behavior,frequency_news_gimenes,6176,1545,300,0.3669535928556192,0.0310928205388701,pass
SVD_EAT,behavior,frequency_written_cobuild,6077,1520,300,0.3617272396326186,0.0177279497794164,pass
SVD_EAT,behavior,frequency_spoken_cobuild,6077,1520,300,0.4191801095937871,0.0291318653082064,pass
SVD_EAT,behavior,context_diversity_subtlexus,6139,1535,300,0.3644484670720612,0.0298186784837214,pass
SVD_EAT,behavior,context_diversity_subtlexuk,6188,1547,300,0.3838906424077736,0.0279857725602459,pass
SVD_EAT,behavior,context_diversity_blog_gimenes,6176,1545,300,0.4116453850760794,0.0289948696148547,pass
SVD_EAT,behavior,context_diversity_twitter_gimenes,6176,1545,300,0.3539529927895014,0.0207539190509382,pass
SVD_EAT,behavior,context_diversity_news_gimenes,6176,1545,300,0.370424895610315,0.0307999951516393,pass
SVD_EAT,behavior,familiarity_glasgow,2346,587,300,0.2120918665918164,0.0169517039302956,pass
SVD_EAT,behavior,familiarity_brysbaert,5052,1263,300,0.0186573645987558,0.0148021769090824,pass
SVD_EAT,behavior,prevalence_brysbaert,5371,1343,300,0.2301955118812404,0.0142156385185326,pass
SVD_EAT,behavior,aoa_kuperman,4809,1203,300,0.3435267969956551,0.0294345559307963,pass
SVD_EAT,behavior,aoa_brysbaert,4572,1144,300,0.3607690150149589,0.0171769717857614,pass
SVD_EAT,behavior,aoa_glasgow,2346,587,300,0.333953810850727,0.0390197597689105,pass
SVD_EAT,behavior,frequency_trajectory_brysbaert,4926,1232,300,0.5016587564082443,0.0131033508236364,pass
SVD_EAT,behavior,pos_brysbaert,6100,1526,300,0.4389158542336527,0.0105078329957693,pass
SVD_EAT,behavior,pos_vanheuven,6140,1536,300,0.3696831647158068,0.013028282787699,pass
